id;name;picture;store_id;price;unit;remark;total_sales_num;point
1;neural Ball;ivory SMS;87111;68917;Handcrafted Frozen Bacon benchmark;Mouse Investor partnerships;7005;36618
2;navigate Rubber Florida;sexy;99188;71905;Computers Berkshire Rustic;Ramp;43096;66399
3;USB primary teal;Djibouti Franc Borders Configuration;61611;6;Kroon Regional;Specialist copy programming;79682;50700
4;Soft multi-tasking;Ranch Berkshire expedite;7806;37423;3rd generation program;Avon sky blue;53184;12182
5;Home Loan Account Sports Oregon;action-items;96907;54657;content Administrator Buckinghamshire;North Korean Won Cambridgeshire;40422;68435
6;Credit Card Account International;Berkshire deposit;25241;96227;open architecture;Functionality;49455;93668
7;Small Metal Ball bluetooth;Checking Account scalable;80878;88363;Tools;orchestrate magnetic;84627;65072
8;Applications Granite;secondary solution-oriented transmit;54491;70045;Enterprise-wide Bahraini Dinar;Soft;53663;48077
9;bypassing haptic mission-critical;brand Music killer;35264;11651;Tuna Tactics Administrator;green;92449;8488
10;copying Savings Account payment;Washington;57171;25357;Corporate implementation;Switchable Mouse engineer;7617;75121
